dataset,scene,method,rows,collision_count,collision_free_count,min_safety_h_min,min_safety_h_mean,goal_distance_reduction_ratio_mean,intervention_rate_mean,control_deviation_mean_mean,active_constraints_mean_mean,runtime_mean_mean,runtime_p95_mean,qp_infeasible_count_sum,fallback_used_rate,candidate_count_final_mean,candidate_count_final_min,candidate_count_final_p95,candidate_count_final_max,v1_insertion_level,source_dir
v1_smoke3,stonehenge,no_filter,3,3,0,-0.0002270187251269,-0.0002258824000212,0.9913371756492282,0.0,0.0,0.0,1.845290024996684e-05,2.0169559866189955e-05,0,,,,,,,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_smoke3
v1_smoke3,stonehenge,risk_aware_v1_pre_cbf,3,0,3,0.0008069268660619,0.000990581815131,0.4018284973206914,0.9581264057579848,0.0525325781468501,255.22405083220872,0.0349756128739128,0.0383043975258866,0,0.0,10315.267034990791,3614.0,20146.299999999992,24337.0,partial_pre_cbf,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_smoke3
v1_smoke3,stonehenge,safer_splat_filter,3,0,3,0.0008069269824773,0.0009905836001659,0.4018082982258126,0.9591520467836258,0.0525357551258979,416.4105892937472,0.0577010461548489,0.0666225922293961,0,,,,,,,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_smoke3
v1_20,stonehenge,no_filter,20,20,0,-0.0002317183243576,-0.0002260564280732,0.9917401775145688,0.0,0.0,0.0,1.9514122854535857e-05,2.423932310193776e-05,0,,,,,,,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_20
v1_20,stonehenge,risk_aware_v1_pre_cbf,20,0,20,0.0003336731751915,0.0007634096080437,0.5712284434302061,0.909009444480756,0.0593240144473965,296.31079123650454,0.0366581493465829,0.0402459250250831,0,0.0,10215.546316851665,2000.0,17746.0,25421.0,partial_pre_cbf,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_20
v1_20,stonehenge,safer_splat_filter,20,0,20,0.000333671021508,0.0007631153654074,0.5711932642733182,0.9114099913014566,0.0593376572717566,466.0328274167504,0.0597081948480238,0.0689474982814863,0,,,,,,,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_20
v1_100,stonehenge,no_filter,100,99,1,-0.0002361836959607,-0.0002136282125138,0.9915018246518946,0.0,0.0,0.0,1.9624323098279163e-05,2.5144603103399275e-05,0,,,,,,,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_100
v1_100,stonehenge,risk_aware_v1_pre_cbf,100,0,100,0.000317253958201,0.0008605107385665,0.3246946943934709,0.920329445759618,0.0690530773057682,385.5619684292822,0.0398735679220789,0.0429318235572427,0,0.0,10809.802230086132,2000.0,20437.199999999997,25421.0,partial_pre_cbf,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_100
v1_100,stonehenge,safer_splat_filter,100,0,100,0.0003172545402776,0.0008604969101725,0.324696751118169,0.9254504193236854,0.069097154776001,505.58664953518127,0.0621433787306541,0.0705120918508619,0,,,,,,,work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_100
v0_100,stonehenge,no_filter,100,99,1,-0.0002361836959607,-0.0002136282125138,0.9915018246518946,0.0,0.0,0.0,1.9203924978311324e-05,2.431408129632472e-05,0,,,,,,,work/risk_aware_cbf/results/risk_aware_topk_stonehenge_100
v0_100,stonehenge,risk_aware_topk_v0,100,0,100,0.0003172536671627,0.0008605999680003,0.3247081815273468,0.9238590979584118,0.0690796963554689,295.71277631192885,0.0613544295259627,0.0691396126467734,0,,,,,,,work/risk_aware_cbf/results/risk_aware_topk_stonehenge_100
v0_100,stonehenge,safer_splat_filter,100,0,100,0.0003172545402776,0.0008604969101725,0.324696751118169,0.9254504193236854,0.069097154776001,505.58664953518127,0.0612575239132933,0.0695818726113066,0,,,,,,,work/risk_aware_cbf/results/risk_aware_topk_stonehenge_100
baseline_detailed_100,stonehenge,safer_splat_filter,100,0,100,0.0003172545402776,0.0008604969101725,0.324696751118169,0.9254504193236854,0.069097154776001,505.58664953518127,0.0624509124967994,0.071408994201105,0,,,,,,,work/risk_aware_cbf/results/baseline_detailed_logging_stonehenge_100
v0_ablation_20,stonehenge,A_topk150_h0006_hybrid,20,0,20,0.000333671545377,0.0007645155739737,0.5711912208769162,0.9072577612196993,0.0593167102542802,156.81418088630886,0.0601684841068095,0.069046281715855,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
v0_ablation_20,stonehenge,B_topk300_h0006_hybrid,20,0,20,0.000333671021508,0.0007631242042407,0.5711940388034845,0.9110555508394894,0.0593377161375481,289.56279464390497,0.0606368119109501,0.0695648435037583,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
v0_ablation_20,stonehenge,C_topk500_h0006_hybrid,20,0,20,0.000333671370754,0.0007631149783264,0.571193285800073,0.9112865345113332,0.0593376745372802,397.34620269590425,0.0602993758730048,0.0692719952343031,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
v0_ablation_20,stonehenge,D_topk300_h0004_hybrid,20,0,20,0.000333671021508,0.0007631242042407,0.5711940388034845,0.9110555508394894,0.0593377161375481,289.56279464390497,0.0601679286543523,0.068879056754522,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
v0_ablation_20,stonehenge,E_topk300_h0010_hybrid,20,0,20,0.000333671021508,0.0007631242042407,0.5711940388034845,0.9110555508394894,0.0593377161375481,289.56279464390497,0.0601853558661076,0.0687763389106839,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
v0_ablation_20,stonehenge,F_topk300_h0006_activefreq,20,0,20,0.0003336713125463,0.0007631136802956,0.5711932778092528,0.9111630777212096,0.0593376606531384,289.56293132909786,0.0599662861631554,0.0689220117172226,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
v0_ablation_20,stonehenge,G_topk300_h0006_geometry,20,0,20,0.000333671370754,0.0007643966790055,0.571165545055878,0.908456116405932,0.0593150186000297,289.5305693629206,0.0607603085531838,0.069311135248281,0,0.0,,,,,,work/risk_aware_cbf/results/risk_aware_topk_ablation_stonehenge_20
